month,genre1,genre2,genre3,genre4,genre5
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Fantasy,Action,Adventure,Drama,#N/A
4,Action,Crime,Drama,Thriller,#N/A
4,Comedy,Drama,#N/A,#N/A,#N/A
4,Drama,Family,#N/A,#N/A,#N/A
4,Drama,Comedy,#N/A,#N/A,#N/A
4,Action,SF,Adventure,#N/A,#N/A
4,Action,War,SF,#N/A,#N/A
4,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
4,Thriller,Comedy,#N/A,#N/A,#N/A
4,Fantasy,Action,Drama,#N/A,#N/A
4,SF,Adventure,Action,#N/A,#N/A
4,Action,Drama,#N/A,#N/A,#N/A
4,Action,SF,#N/A,#N/A,#N/A
4,Action,Comedy,#N/A,#N/A,#N/A
4,Action,Adventure,Fantasy,#N/A,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Action,Drama,#N/A,#N/A,#N/A
4,Thriller,Crime,#N/A,#N/A,#N/A
4,SF,Action,Fantasy,Melodrama/Romance,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Action,Thriller,Crime,Drama,#N/A
4,Action,Adventure,Fantasy,SF,#N/A
4,Action,Crime,Thriller,#N/A,#N/A
4,Crime,Drama,#N/A,#N/A,#N/A
4,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
4,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
4,Action,SF,Thriller,#N/A,#N/A
4,Thriller,#N/A,#N/A,#N/A,#N/A
4,Mystery,Thriller,#N/A,#N/A,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Action,Adventure,Drama,Fantasy,#N/A
4,Mystery,Thriller,#N/A,#N/A,#N/A
4,Comedy,Drama,#N/A,#N/A,#N/A
4,Action,Crime,Thriller,#N/A,#N/A
4,Comedy,Adventure,Action,#N/A,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Comedy,Drama,#N/A,#N/A,#N/A
4,SF,Thriller,#N/A,#N/A,#N/A
4,Action,Adventure,Fantasy,SF,#N/A
4,Action,Adventure,#N/A,#N/A,#N/A
4,Comedy,#N/A,#N/A,#N/A,#N/A
4,Suspense,Horror,#N/A,#N/A,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Action,SF,#N/A,#N/A,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Action,Fantasy,SF,#N/A,#N/A
4,Action,Adventure,Fantasy,SF,#N/A
4,Drama,#N/A,#N/A,#N/A,#N/A
4,Horror,Mystery,Thriller,#N/A,#N/A
5,Thriller,#N/A,#N/A,#N/A,#N/A
5,Action,Adventure,Fantasy,Melodrama/Romance,#N/A
5,Action,Drama,#N/A,#N/A,#N/A
5,Drama,Action,#N/A,#N/A,#N/A
5,Comedy,Drama,#N/A,#N/A,#N/A
5,Fantasy,Action,Adventure,#N/A,#N/A
5,Action,SF,Thriller,#N/A,#N/A
5,Comedy,#N/A,#N/A,#N/A,#N/A
5,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
5,Action,Comedy,SF,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Comedy,#N/A,#N/A,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Horror,Thriller,#N/A,#N/A,#N/A
5,Fantasy,Action,Adventure,#N/A,#N/A
5,Drama,Fantasy,Comedy,#N/A,#N/A
5,Melodrama/Romance,Horror,Comedy,#N/A,#N/A
5,Thriller,Drama,#N/A,#N/A,#N/A
5,Action,Adventure,Crime,#N/A,#N/A
5,Action,Adventure,SF,#N/A,#N/A
5,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Comedy,#N/A,#N/A,#N/A,#N/A
5,SF,Action,Adventure,#N/A,#N/A
5,Drama,Comedy,#N/A,#N/A,#N/A
5,SF,Adventure,Action,Fantasy,#N/A
5,Crime,Action,#N/A,#N/A,#N/A
5,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
5,Fantasy,Adventure,Drama,#N/A,#N/A
5,Action,#N/A,#N/A,#N/A,#N/A
5,Action,Drama,SF,Thriller,#N/A
5,Mystery,Horror,Thriller,#N/A,#N/A
5,Action,Adventure,Thriller,#N/A,#N/A
5,Comedy,Action,#N/A,#N/A,#N/A
5,Crime,Thriller,#N/A,#N/A,#N/A
5,Drama,#N/A,#N/A,#N/A,#N/A
5,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
5,Adventure,Mystery,SF,#N/A,#N/A
5,Horror,Thriller,#N/A,#N/A,#N/A
5,Mystery,Thriller,Drama,#N/A,#N/A
5,Action,Adventure,Fantasy,SF,#N/A
5,Drama,Action,#N/A,#N/A,#N/A
5,Drama,Family,#N/A,#N/A,#N/A
5,Action,Adventure,Comedy,Fantasy,#N/A
5,Action,SF,#N/A,#N/A,#N/A
5,Crime,Comedy,#N/A,#N/A,#N/A
